7,582540,1569283,81532,340897,80389
7,699048,1274915,98427,369421,96411
7,815556,1407621,115786,398096,112385
7,932064,1578171,132342,526655,128311
7,1048572,2211285,149486,554315,144217
8,116508,216143,16711,128988,16133
8,233016,507311,33171,56076,32040
8,349524,594738,50095,185196,48229
8,466032,888702,66193,213801,64495
8,582540,1114525,82119,241972,81226
8,699048,1697551,99354,370719,98452
8,815556,2605355,117386,398611,113537
8,932064,1577193,133816,428276,129160
8,1048572,2194976,151165,453619,144341
9,116508,209067,16745,28151,15941
9,233016,402743,33729,156983,32067
9,349524,617789,50564,185502,48801
9,466032,900278,66297,314513,64991
9,582540,1084125,83477,242751,81951
9,699048,1299514,100637,270271,97245
9,815556,1807965,118055,404600,117882
9,932064,1589636,134330,528570,130652
9,1048572,1893165,151518,455955,145883
10,116508,215754,16781,28736,16505
10,233016,395570,33408,56718,32809
10,349524,613064,49929,85501,49457
10,466032,899379,66238,214317,65701
10,582540,1030080,83282,243427,81828
10,699048,1351655,100726,371852,98328
10,815556,1381843,117403,402358,113768
10,932064,1676397,134710,525078,128585
10,1048572,1775138,151760,453242,144296
11,116508,206470,16857,28350,16159
11,233016,502707,33347,156542,32235
11,349524,680698,49811,185943,49582
11,466032,1275462,66680,214391,65650
11,582540,1107078,84359,242700,81037
11,699048,1178367,101541,372717,98567
11,815556,1848620,119131,400517,113764
11,932064,2327054,136133,427560,129644
11,1048572,1773260,153675,557907,146786
12,116508,386846,16508,28611,16391
12,233016,452973,33418,157970,32963
12,349524,581655,50476,185975,49437
12,466032,830852,67763,214147,65628
12,582540,1088580,85345,243648,81835
12,699048,1399255,102642,377522,102117
12,815556,1398843,120058,401654,114355
12,932064,2217975,137592,528625,130177
12,1048572,2006932,154262,558525,147734
13,116508,206790,16927,28587,16313
13,233016,404384,33715,57030,32846
13,349524,809807,50782,85586,49381
13,466032,793102,67763,214723,65522
13,582540,1100540,84728,343909,81896
13,699048,1364000,101725,272323,98425
13,815556,1460630,118899,400844,115834
13,932064,1684204,134821,430202,131249
